image_id,face_idx,race,gender,age_group,race_scores,gender_scores,age_scores
11202,face0,Asian,Female,30-39,[0.49409467 0.00061257 0.49741268 0.00788009],[0.33051214 0.66948783],"[1.24592221e-08 9.19597864e-04 1.84227005e-02 1.02312806e-04
 5.90710223e-01 3.51417333e-01 3.64026837e-02 1.89449638e-03
 1.30535438e-04]"
11202,face1,Asian,Female,40-49,[1.4168062e-02 3.7607151e-05 9.8506910e-01 7.2522095e-04],[0.22961043 0.77038956],"[3.9721799e-09 2.1109771e-04 2.8427556e-01 1.7781604e-05 4.8928019e-02
 3.8558951e-01 2.6847434e-01 1.2146933e-02 3.5671401e-04]"
11652,face0,Asian,Female,50-59,[5.8760413e-04 7.6007422e-07 9.9940103e-01 1.0601230e-05],[0.21976237 0.7802376 ],"[5.4937752e-11 3.6935304e-05 1.2718242e-01 3.9334082e-06 4.2444398e-03
 2.5910398e-01 5.9131253e-01 1.8000381e-02 1.1537111e-04]"
11828,face0,Asian,Female,50-59,[2.1453632e-01 5.3452914e-05 7.7785587e-01 7.5543025e-03],[0.18765359 0.8123464 ],"[6.7379247e-10 6.4360880e-05 1.9161847e-01 1.1704930e-06 1.8427027e-03
 2.3605871e-01 5.4139239e-01 2.8567443e-02 4.5479432e-04]"
11865,face0,Asian,Female,10-19,[5.7282406e-03 7.2053626e-07 9.9426866e-01 2.3846922e-06],[0.2203087 0.7796913],"[8.1494377e-12 3.2422554e-06 6.8294388e-01 2.7720907e-07 1.8230329e-04
 3.2348171e-02 2.6435432e-01 2.0025017e-02 1.4273531e-04]"
12102,face0,Asian,Female,30-39,[1.2162666e-01 9.8132568e-06 8.7811548e-01 2.4810812e-04],[0.28504416 0.71495587],"[3.0697184e-10 4.0006984e-05 4.1543752e-01 3.7750604e-03 5.1348412e-01
 5.4406270e-02 1.2458538e-02 3.7271332e-04 2.5758460e-05]"
12102,face1,Asian,Female,30-39,[1.8832467e-01 1.2810696e-04 8.1044030e-01 1.1069167e-03],[0.32335588 0.6766441 ],"[7.37800265e-09 2.31046986e-04 2.52878368e-01 3.75106954e-03
 6.48321211e-01 7.60819837e-02 1.76999308e-02 9.26570676e-04
 1.09794506e-04]"
12102,face2,Asian,Female,30-39,[5.9881996e-02 1.6715336e-05 9.3992460e-01 1.7670746e-04],[0.23128633 0.7687137 ],"[1.5304885e-09 6.0096727e-04 2.1442020e-02 7.2209886e-04 5.3503561e-01
 3.6889774e-01 7.2234415e-02 1.0395774e-03 2.7638031e-05]"
12200,face0,Asian,Female,10-19,[1.4705229e-01 9.0114809e-06 8.5281861e-01 1.2013913e-04],[0.29935116 0.70064884],"[6.5579203e-10 4.6075111e-05 6.5684938e-01 7.8667890e-06 8.7138172e-04
 2.9743833e-02 2.8744471e-01 2.4579095e-02 4.5756288e-04]"
12210,face0,White,Female,10-19,[7.0794344e-01 3.3110424e-04 2.9137489e-01 3.5056350e-04],[0.35386378 0.6461362 ],"[1.1021390e-08 3.0384291e-04 8.9760524e-01 9.3797726e-06 2.1446988e-03
 1.5820086e-02 5.5077836e-02 2.4541348e-02 4.4975444e-03]"
12878,face0,Asian,Female,50-59,[1.9706696e-02 7.3390738e-06 9.7348303e-01 6.8028420e-03],[0.18293643 0.81706357],"[1.1276593e-09 1.8102585e-04 1.4253204e-01 1.9485544e-06 1.2416540e-03
 1.5040049e-01 6.6108948e-01 4.3804172e-02 7.4919523e-04]"
13067,face0,Asian,Female,10-19,[4.9620671e-03 4.6136124e-06 9.9502200e-01 1.1295806e-05],[0.24757895 0.752421  ],"[3.83559517e-10 1.89473085e-05 8.27421665e-01 4.86820727e-06
 1.09459215e-04 7.86524452e-03 1.40168950e-01 2.34662816e-02
 9.44544969e-04]"
13067,face1,Asian,Female,50-59,[2.9323842e-02 2.2431379e-04 9.7034997e-01 1.0188964e-04],[0.49850866 0.5014913 ],"[8.2510603e-09 4.6693329e-02 1.1627576e-03 1.3614575e-06 3.2424476e-04
 1.8302438e-01 6.8480670e-01 8.2289226e-02 1.6979437e-03]"
13068,face1,Asian,Female,50-59,[2.87980456e-02 5.30013313e-05 9.71031845e-01 1.17121665e-04],[0.45807526 0.5419248 ],"[3.3038366e-10 1.7385618e-01 2.0918156e-05 2.5079805e-07 2.4650589e-04
 3.1393611e-01 4.9127916e-01 2.0498285e-02 1.6259257e-04]"
13068,face0,Asian,Female,10-19,[1.32307345e-02 6.24478998e-05 9.86530483e-01 1.76293484e-04],[0.25996265 0.74003726],"[4.2182099e-10 3.0690677e-05 5.9723347e-01 4.7587901e-06 2.3995033e-04
 2.1647932e-02 3.4471133e-01 3.5349358e-02 7.8253803e-04]"
13570,face0,White,Female,3-9,[9.5311600e-01 4.2825654e-02 8.7859336e-04 3.1797772e-03],[0.41826987 0.58173007],"[4.5609388e-11 9.9371302e-01 7.1374053e-08 7.1775069e-08 1.3889142e-07
 5.3908834e-06 1.7895645e-03 3.8406353e-03 6.5114541e-04]"
14089,face0,White,Female,50-59,[9.5462793e-01 5.7205012e-05 4.4160169e-02 1.1547537e-03],[0.31336644 0.6866336 ],"[2.8710239e-09 5.0648977e-04 2.1950740e-01 4.0104124e-03 1.6020745e-01
 1.2530404e-01 4.8377603e-01 6.5114326e-03 1.7674519e-04]"
14089,face1,White,Female,30-39,[9.7848773e-01 5.6685774e-05 2.0786146e-02 6.6953973e-04],[0.35066321 0.64933676],"[4.4485056e-09 9.5008762e-04 8.4794044e-02 7.0310704e-02 6.1071068e-01
 8.1744015e-02 1.4947301e-01 1.9531401e-03 6.4238360e-05]"
14834,face0,Asian,Female,40-49,[0.418294   0.00405669 0.54738325 0.03026604],[0.27849853 0.7215014 ],"[1.3217078e-11 1.1786825e-02 7.4336531e-06 1.5258045e-08 2.7112509e-04
 5.9900296e-01 3.8673359e-01 2.1935361e-03 4.5101674e-06]"
14926,face0,Asian,Female,50-59,[6.3585299e-03 9.3805022e-07 9.9302346e-01 6.1705103e-04],[0.1394987  0.86050135],"[1.51882890e-12 2.62097001e-06 3.56303193e-02 1.87109954e-08
 1.10836554e-04 1.41033933e-01 8.14614475e-01 8.59140046e-03
 1.64166540e-05]"
